"Prey_ID","Pike_ID","total_encounters_high_conf","num_days_high_conf_10","num_days_high_conf_50","num_days_high_conf_100","max_consecutive_days_high_conf","total_encounters_probable","num_days_probable_50","num_days_probable_100","num_days_probable_200","max_consecutive_days_probable","total_encounters_possible","num_days_sustained_contact","max_consecutive_contact_days","sustained_contact_start","sustained_contact_end","total_points_at_zero","overall_min_distance","mean_of_daily_min_distance","num_days_under_1.1m","num_days_under_2.2m","num_days_under_3.3m","first_encounter_date","last_encounter_date","tracking_duration_days","total_days_with_encounters","encounters_final_2days_high_conf","encounters_final_2days_probable","high_conf_intensity","probable_intensity","combined_encounter_score","likely_predated","Species","found_alive","found_predated"
"F59828","F59898",5677,16,10,6,8,3113,12,9,7,4,4680,16,8,2022-10-01,2022-10-27,721,0.531622200241945,1.90478842148463,13,23,26,2022-09-27,2022-10-27,31,31,409,161,183.129032258065,100.41935483871,8169.5,"very_likely","Roach",0,0
"F59831","F59896",861,17,6,3,11,4143,19,12,6,8,9178,12,7,2022-09-29,2022-10-19,45,0.446269671929787,4.35375429436022,10,20,23,2022-09-27,2022-10-30,34,34,0,6,25.3235294117647,121.852941176471,4768.1,"very_likely","Roach",0,0
"F59817","F59896",936,17,5,2,11,3868,18,14,7,15,9142,14,8,2022-09-29,2022-10-19,72,0.506210940273813,4.48322378990454,8,20,23,2022-09-27,2022-10-30,34,34,0,2,27.5294117647059,113.764705882353,4698.4,"very_likely","Roach",0,0
"F59820","F59896",1213,15,9,3,8,4121,17,14,6,8,6385,14,8,2022-09-29,2022-10-19,55,0.365360006281531,5.09762888657774,11,18,21,2022-09-27,2022-10-30,34,34,0,4,35.6764705882353,121.205882352941,4550.5,"very_likely","Roach",0,0
"F59852","F59896",660,11,3,1,5,4852,14,11,6,7,5179,11,4,2022-09-27,2022-10-19,23,0.503755530674483,5.72853489139442,3,11,15,2022-09-27,2022-10-26,30,30,0,0,22,161.733333333333,4121.8,"very_likely","Perch",0,0
"F59826","F59896",1181,13,5,2,4,3009,18,12,5,7,6503,11,4,2022-09-30,2022-10-18,31,0.598572062093234,4.66209712876374,7,20,23,2022-09-27,2022-10-30,34,33,5,22,34.7352941176471,88.5,3986.1,"very_likely","Roach",0,1
"F59820","F59898",767,18,4,2,10,3583,15,12,6,6,7095,12,4,2022-10-02,2022-10-20,11,0.686365092948796,2.2649501677806,3,21,30,2022-09-27,2022-10-30,34,34,9,52,22.5588235294118,105.382352941176,3977.5,"very_likely","Roach",0,0
"F59817","F59895",602,10,3,1,5,3791,15,11,4,10,5766,9,4,2022-09-27,2022-10-08,6,0.595960794467506,3.06151872192005,4,19,25,2022-09-27,2022-10-29,33,33,7,70,18.2424242424242,114.878787878788,3650.7,"very_likely","Roach",0,0
"F59817","F59898",575,12,4,1,4,3545,15,11,6,12,6070,10,7,2022-10-03,2022-10-16,23,0.816034016321622,2.88724297881507,4,18,21,2022-09-27,2022-10-30,34,34,19,56,16.9117647058824,104.264705882353,3561.5,"very_likely","Roach",0,0
"F59852","F59898",311,6,2,0,2,4402,10,9,7,4,3927,9,4,2022-09-28,2022-10-18,6,0.969429561302119,5.05251516141017,3,10,18,2022-09-27,2022-10-26,30,30,0,18,10.3666666666667,146.733333333333,3297.4,"very_likely","Perch",0,0
"F59831","F59898",500,17,2,0,7,2431,15,10,1,5,5736,9,2,2022-10-01,2022-10-20,29,0.719947244206637,2.35750006024046,9,24,28,2022-09-27,2022-10-30,34,34,13,68,14.7058823529412,71.5,2862.7,"very_likely","Roach",0,0
"F59852","F59897",648,8,3,3,3,2975,12,8,5,3,3289,9,3,2022-09-27,2022-10-18,44,0.5867168168696,4.50056479981348,6,12,19,2022-09-27,2022-10-26,30,30,0,0,21.6,99.1666666666667,2793.3,"very_likely","Perch",0,0
"F59878","F59898",429,7,2,1,3,3406,7,6,4,5,3147,6,3,2022-10-01,2022-10-10,12,0.771849816000372,5.09107653847009,2,7,12,2022-09-27,2022-10-20,24,24,0,0,17.875,141.916666666667,2761.4,"very_likely","Perch",0,0
"F59828","F59894",589,8,4,3,3,2797,11,8,4,8,3641,8,3,2022-09-27,2022-10-26,22,0.422900542152067,8.05421730664929,3,12,13,2022-09-27,2022-10-27,31,31,11,3,19,90.2258064516129,2715.7,"very_likely","Roach",0,0
"F59831","F59895",393,10,1,1,4,2488,13,9,3,4,4706,8,3,2022-09-27,2022-10-14,10,0.807379915846964,2.51497368213265,3,17,27,2022-09-27,2022-10-29,33,33,13,67,11.9090909090909,75.3939393939394,2578.2,"very_likely","Roach",0,0
"F59828","F59896",642,15,5,1,7,2104,16,8,3,11,4403,11,5,2022-09-27,2022-10-17,21,0.63811996573927,6.13537664414514,4,17,19,2022-09-27,2022-10-27,31,31,0,0,20.7096774193548,67.8709677419355,2574.6,"very_likely","Roach",0,0
"F59820","F59895",286,8,2,0,4,2332,12,8,4,6,5397,6,3,2022-09-27,2022-10-12,2,0.941716467031445,3.61485773840984,1,12,21,2022-09-27,2022-10-29,33,33,0,16,8.66666666666667,70.6666666666667,2531.4,"very_likely","Roach",0,0
"F59831","F59897",256,9,1,0,3,2142,13,9,2,5,5558,7,3,2022-10-01,2022-10-23,6,0.855597335023707,2.96224598446327,4,16,26,2022-09-27,2022-10-30,34,34,16,79,7.52941176470588,63,2438.6,"very_likely","Roach",0,0
"F59826","F59894",552,8,5,1,3,2090,8,6,2,5,3615,6,2,2022-09-27,2022-10-13,44,0.471348458437066,5.58744400457804,6,10,13,2022-09-27,2022-10-30,34,34,0,0,16.2352941176471,61.4705882352941,2320,"very_likely","Roach",0,1
"F59820","F59894",547,9,4,2,3,1864,10,7,2,3,4172,8,3,2022-09-27,2022-10-30,25,0.797616374847118,5.66245180474508,3,11,13,2022-09-27,2022-10-30,34,34,26,94,16.0882352941176,54.8235294117647,2313.4,"very_likely","Roach",0,0
"F59878","F59897",700,5,2,2,2,2341,8,4,3,3,2207,5,2,2022-09-27,2022-10-07,6,0.989622097801773,8.21855068983267,1,6,9,2022-09-27,2022-10-20,24,24,0,5,29.1666666666667,97.5416666666667,2311.9,"very_likely","Perch",0,0
"F59820","F59897",384,11,2,0,5,2393,15,8,4,6,3655,7,3,2022-10-01,2022-10-19,27,0.523143065151091,3.9924233939246,4,14,21,2022-09-27,2022-10-30,34,34,9,70,11.2941176470588,70.3823529411765,2311.5,"very_likely","Roach",0,0
"F59826","F59895",394,11,1,1,4,2270,14,6,1,6,3880,4,2,2022-09-27,2022-10-11,4,0.723423033162539,3.93411880009498,1,15,25,2022-09-27,2022-10-29,33,33,19,36,11.9393939393939,68.7878787878788,2305,"very_likely","Roach",0,1
"F59826","F59898",506,8,3,1,5,1767,8,5,3,4,4257,7,5,2022-10-07,2022-10-15,19,0.362212640311169,3.74509437586417,6,18,19,2022-09-27,2022-10-30,34,34,17,47,14.8823529411765,51.9705882352941,2240.9,"very_likely","Roach",0,1
"F59826","F59897",610,7,2,2,6,1764,9,4,2,6,3629,4,4,2022-10-13,2022-10-16,11,0.543782407952539,4.79781984886432,4,11,18,2022-09-27,2022-10-30,34,34,6,16,17.9411764705882,51.8823529411765,2217.8,"very_likely","Roach",0,1
"F59817","F59897",462,6,2,2,3,1757,9,5,2,3,3488,6,3,2022-10-03,2022-10-20,8,0.8017448395747,3.39101972938515,5,15,25,2022-09-27,2022-10-30,34,34,9,62,13.5882352941176,51.6764705882353,2038.1,"very_likely","Roach",0,0
"F59878","F59896",189,6,1,0,1,2206,11,8,3,5,3433,8,2,2022-09-27,2022-10-13,0,1.33580769810707,8.22535097204966,0,7,11,2022-09-27,2022-10-20,24,24,0,0,7.875,91.9166666666667,1978.6,"very_likely","Perch",0,0
"F59817","F59894",332,10,3,0,5,1417,10,6,1,3,3921,6,3,2022-09-27,2022-10-04,11,0.783781053835689,4.99144195880435,4,11,17,2022-09-27,2022-10-30,34,34,3,5,9.76470588235294,41.6764705882353,1824.7,"very_likely","Roach",0,0
"F59853","F59896",307,4,1,1,3,2272,5,4,4,3,1594,5,3,2022-09-29,2022-10-09,12,0.384864868362557,9.63097723509044,1,4,7,2022-09-27,2022-10-23,27,25,0,0,11.3703703703704,84.1481481481482,1761.8,"very_likely","Perch",0,0
"F59831","F59894",338,7,2,0,3,1421,10,6,2,6,3475,7,3,2022-09-27,2022-10-18,21,0.445631989066127,4.16442055015246,3,13,19,2022-09-27,2022-10-30,34,34,5,4,9.94117647058824,41.7941176470588,1743.5,"very_likely","Roach",0,0
"F59849","F59896",409,8,1,1,2,1398,7,5,1,2,2299,8,2,2022-09-27,2022-10-12,15,0.60937473247306,2.88833330294292,5,7,12,2022-09-27,2022-10-12,16,16,79,232,25.5625,87.375,1567.8,"very_likely","Perch",0,0
"F59849","F59894",255,6,1,0,3,1186,7,7,1,7,2726,6,6,2022-09-28,2022-10-03,7,0.931266744678191,5.53313423985115,2,7,10,2022-09-27,2022-10-12,16,16,0,0,15.9375,74.125,1393.2,"very_likely","Perch",0,0
"F59852","F59895",208,6,1,0,2,1312,6,6,2,2,2390,5,2,2022-09-29,2022-10-15,18,0.630366364942815,5.64788366773217,3,11,16,2022-09-27,2022-10-26,30,30,0,44,6.93333333333333,43.7333333333333,1342,"very_likely","Perch",0,0
"F59849","F59897",143,5,0,0,3,1530,8,5,3,6,2053,4,3,2022-10-01,2022-10-06,7,0.811524339742621,6.10644084806601,2,5,8,2022-09-27,2022-10-12,16,16,0,0,8.9375,95.625,1318.6,"very_likely","Perch",0,0
"F59878","F59895",216,6,1,0,3,1069,6,4,1,3,2584,5,3,2022-09-27,2022-10-08,7,0.871631037288472,10.8543936967577,2,8,11,2022-09-27,2022-10-20,24,24,0,0,9,44.5416666666667,1267.3,"very_likely","Perch",0,0
"F59849","F59895",80,2,0,0,1,983,5,2,2,2,3334,3,2,2022-09-30,2022-10-08,5,0.729572192805265,3.36400645139647,2,6,9,2022-09-27,2022-10-12,16,16,0,175,5,61.4375,1238.3,"very_likely","Perch",0,0
"F59849","F59898",80,2,0,0,1,1482,4,2,1,2,581,3,2,2022-10-01,2022-10-06,6,1.00402626512961,6.04351125801285,1,7,9,2022-09-27,2022-10-12,16,16,0,0,5,92.625,937.2,"very_likely","Perch",0,0
"F59847","F59897",117,3,0,0,1,620,6,1,1,2,1441,1,1,2022-09-27,2022-09-27,0,1.32384133208895,10.8280643883344,0,5,9,2022-09-27,2022-10-30,34,34,0,0,3.44117647058824,18.2352941176471,715.2,"possible","Perch",0,0
"F59853","F59897",110,2,1,0,1,334,2,1,0,1,845,1,1,2022-10-01,2022-10-01,3,0.878715657731876,10.5227796047017,2,4,5,2022-09-27,2022-10-23,27,27,0,2,4.07407407407407,12.3703703703704,446,"possible","Perch",0,0
"F59847","F59898",45,1,0,0,1,361,2,0,0,1,1088,1,1,2022-10-01,2022-10-01,0,1.56974719406525,10.3765990881507,0,3,7,2022-09-27,2022-10-30,34,34,0,13,1.32352941176471,10.6176470588235,443.1,"possible","Perch",0,0
"F59853","F59894",13,0,0,0,0,406,3,2,0,2,633,1,1,2022-10-03,2022-10-03,0,2.38965658374641,14.4628578802337,0,0,5,2022-09-27,2022-10-23,27,27,0,0,0.481481481481481,15.037037037037,342.6,"possible","Perch",0,0
"F59828","F59895",242,6,1,0,1,1730,9,6,3,2,3457,4,1,2022-09-27,2022-10-09,1,1.05462091241261,7.03397449356961,1,10,16,2022-09-27,2022-10-27,31,31,0,20,7.80645161290323,55.8064516129032,1798.4,"likely","Roach",0,0
"F59828","F59897",186,5,2,0,2,1253,8,3,2,4,3317,4,1,2022-09-27,2022-10-16,0,1.36923590900827,5.13596425621771,0,9,17,2022-09-27,2022-10-27,31,31,4,21,6,40.4193548387097,1475.9,"likely","Roach",0,0
"F59852","F59894",265,3,2,1,1,1038,5,3,1,1,3196,3,1,2022-09-28,2022-10-13,7,0.753217999339814,7.02828162863225,1,6,9,2022-09-27,2022-10-26,30,30,0,11,8.83333333333333,34.6,1423.2,"likely","Perch",0,0
"F59853","F59898",260,4,2,1,2,1644,2,2,2,1,935,2,1,2022-10-01,2022-10-09,0,1.294703295705,10.0463228906214,0,4,4,2022-09-27,2022-10-23,27,27,0,0,9.62962962962963,60.8888888888889,1269,"likely","Perch",0,0
"F59847","F59896",54,3,0,0,2,927,6,4,1,2,1864,2,1,2022-09-27,2022-10-07,2,0.917948701693476,9.15956484143645,1,2,10,2022-09-27,2022-10-30,34,26,0,0,1.58823529411765,27.2647058823529,890.3,"likely","Perch",0,0
"F59878","F59894",65,2,0,0,1,531,2,2,1,1,2590,2,1,2022-09-28,2022-09-30,1,1.03318263498729,12.8218498076049,1,4,7,2022-09-27,2022-10-20,24,24,0,0,2.70833333333333,22.125,848.5,"likely","Perch",0,0
"F59847","F59895",86,3,0,0,1,651,4,2,1,2,1512,2,1,2022-10-02,2022-10-07,0,1.44761218427387,12.2270400236042,0,6,9,2022-09-27,2022-10-29,33,33,0,0,2.60606060606061,19.7272727272727,713.9,"likely","Perch",0,0
"F59847","F59894",73,2,0,0,1,534,5,1,1,4,1322,2,1,2022-09-28,2022-09-30,8,0.778108424137533,12.8055679360864,1,5,6,2022-09-27,2022-10-30,34,34,0,0,2.14705882352941,15.7058823529412,604.4,"likely","Perch",0,0
"F59853","F59895",112,3,1,0,3,489,3,1,1,2,876,2,2,2022-09-29,2022-09-30,0,1.37287220757842,11.6461366584288,0,4,6,2022-09-27,2022-10-23,27,27,0,1,4.14814814814815,18.1111111111111,531.7,"likely","Perch",0,0
